Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
"ETHYL 2-ETHYLBUTYRATE",,,"Ethyl alpha-ethylbutyrate; Ethyl 2-ethylbutanoate; Butanoic acid, 2-ethyl-, ethyl ester",2983-38-2,,4344,,,221-044-9,,,"Colorless clear liquid",,,,,,,"1.418 mg",,"(The Good Scents Co , 2009); Assay (min); 97%; Solubility; Insoluble in water; soluble in ethanol; Boiling point; 156–157°C ; Specific gravity; 0.867–0.869 (20°C); Refractive index; 1.403–1.405 (20°C)","(FEMA, 2007)","[['Baked goods', '2.00', '200.00'], ['Jams, jellies', '1.00', '50.00'], ['Breakfast cereal', '2.00', '200.00'], ['Meat products', '2.00', '200.00'], ['Cheese', '2.00', '200.00'], ['Milk products', '2.00', '200.00'], ['Chewing gum', '10.00', '500.00'], ['Nonalcoholic beverages', '2.00', '50.00'], ['Condiments, relishes', '2.00', '200.00'], ['Nut products', '2.00', '200.00'], ['Confectionery frostings', '1.00', '50.00'], ['Other grains', '2.00', '200.00'], ['Egg products', '2.00', '200.00'], ['Poultry', '2.00', '200.00'], ['Fats, oils', '2.00', '200.00'], ['Processed fruits', '2.00', '200.00'], ['Fish products', '2.00', '200.00'], ['Processed vegetables', '1.00', '50.00'], ['Frozen dairy', '1.00', '50.00'], ['Seasonings/flavors', '5.00', '500.00'], ['Fruit ices', '2.00', '50.00'], ['Snack foods', '1.00', '50.00'], ['Gelatins, puddings', '1.00', '50.00'], ['Soft candy', '5.00', '500.00'], ['Gravies', '1.00', '50.00'], ['Soups', '1.00', '50.00'], ['Hard candy', '10.00', '500.00'], ['Sweet sauces', '2.00', '200.00'], ['Imitation dairy', '1.00', '50.00']]",,,C8H16O2/144.21CH3CH3OOCH3,,"Not reported found in nature",,,,,,,,,,,
"ETHYL 2-ETHYLHEXANOATE",,,"Ethyl 2-ethylcaproate; Ethyl alpha-ethylcaproate; Hexanoic acid, 2-ethyl-, ethyl ester; Orris capronate; Irotyl",2983-37-1,,4345,,,221-043-3,,,"Colorless clear liquid; fresh orris, fruity, herbal, cumin aroma ","Odor and/or flavor used in herbal, moss, orris iris, violet, and woody.  ",,,,,,"0.021 mg",,"(The Good Scents Co , 2009); Assay (min); 95%; Solubility; Insoluble in water; soluble in ethanol; Boiling point; 81°C (24 mmHg); Specific gravity; 0.860 (25°C); Refractive index; 1.412–1.416 (20°C)","(FEMA, 2007)","[['Chewing gum', '4.00', '20.00'], ['Processed fruits', '0.01', '0.04'], ['Fruit ices', '1.00', '5.00'], ['Soft candy', '2.00', '10.00'], ['Hard candy', '2.00', '10.00'], ['Sweet sauces', '0.01', '0.04'], ['Jams, jellies', '1.00', '5.00']]","Medium strength odor, orris type ",,C10H20O2/172.27CH3CH3OOCH3,,"Not reported found in nature",,,,,,,,,,,
"ETHYL 2-ETHYL-3-PHENYL PROPANOATE",,,"Ethyl 2-ethyl dihydrocinnamate; Benzenepropanoic acid, alpha-ethyl-, ethyl ester; Ethyl alpha-ethylbenzenepropano-ate; Ethyl 2-benzylbutyrate; Ethyl 2-ethyl-3-phenylpropanoate",2983-36-0,9.802,3341,3341,10587,221-042-8,1475,,"Ethyl 2-ethyl-3-phenyl propanoate has a green, floral aroma ","<1.00 lb","0.00001415 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2004)","2.069 mg",Artificial,"(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.483–1.489 (20°C); Appearance; Colorless liquid; Solubility; Soluble in oils and ethanol; insoluble ; in water; Assay (min); 99%; Specific gravity; 0.972–0.979 (25°C); Boiling point; 72°C (0.09 mmHg)","(FEMA, 1994)","[['Alcoholic beverages', '25.00', '25.00'], ['Jams, jellies', '50.00', '50.00'], ['Frozen dairy', '5.00', '5.00'], ['Nonalcoholic beverages', '5.00', '5.00'], ['Fruit ices', '5.00', '5.00'], ['Soft candy', '50.00', '50.00'], ['Hard candy', '50.00', '50.00']]",,,C13H18O2/206.28,,"Not reported found in nature",,,,,,,,,,,
"ETHYL N-ETHYLANTHRANILATE",,,"Benzoic acid, 2-(ethylamino)-, ethyl ester; Ethyl o-(ethylamino)benzoate; Diethyl anthranilate; Ethyl (2-ethylami-nophenyl)methanoate; Ethyl 2-(ethylamino)benzoate; Ethyl N-ethyl-2-aminobenzoate",38446-21-8,9.764,4115,,629,235-935-3,1547,,"Yellowish solid; fruity grape aroma","Odor and/or flavor used in tropical fruit, mandarin, neroli, orange, petitgrain and tangerine.  ",,"5 ppm",,,"Acceptable (conditional). No safety concern (conditional) at current levels of intake when used as a flavoring agent (2005)","3.785 mg",Artificial,"(JECFA, 2008); Acid value (max); 1.0; Melting point; 74°C ; Assay (min); 95%; Solubility; Very slightly soluble in water; soluble ; in ethanol; Boiling point; 260°C ","(FEMA, 2005)","[['Baked goods', '10.00', '50.00'], ['Imitation dairy', '7.00', '35.00'], ['Breakfast cereals', '5.00', '25.00'], ['Meat products', '5.00', '25.00'], ['Cheese', '7.00', '35.00'], ['Milk products', '7.00', '35.00'], ['Condiments, relishes', '2.00', '25.00'], ['Other grains', '5.00', '25.00'], ['Confection, frosting', '10.00', '50.00'], ['Poultry', '2.00', '10.00'], ['Fats, oils', '5.00', '25.00'], ['Processed fruits', '7.00', '35.00'], ['Fish products', '2.00', '10.00'], ['Seasonings, flavors', '5.00', '25.00'], ['Frozen dairy', '7.00', '35.00'], ['Snack foods', '20.00', '100.00'], ['Fruit ices', '10.00', '50.00'], ['Soups', '5.00', '25.00'], ['Gravies', '5.00', '25.00'], ['Sweet sauce', '5.00', '25.00']]","Medium strength odor, floral type ",,C11H15O2N/193.25NHCH3OCH3O,,"Not reported found in nature",,,,,,,,,,,
"ETHYL FORMATE",,,"Formic ether; Ethyl formate; Ethyl formic ester; Ethyl methanoate; Formic acid, ethyl ester; Propionic acid",109-94-4,9.072,2434,2434,339,203-721-0,26,,"Ethyl formate has a characteristic, pungent odor similar to ethyl acetate and reminiscent of pineapple and a slightly bitter taste. It has been also reported to have a rum-like odor ","9650.00 lb","0.008177 mg/kg/day",Approved,"21 CFR 184.1295; 184.1848",,"0 to 3 mg/kg bw (1979), and reaffirmed in 1997. No safety concern when used at current levels as a flavoring agent (1997) ","0.049 mg","Nature Identical","(FCC, 1996); Acidity; 0.2%; Refractive index; 1.359–1.363 (20°C); Appearance; Colorless, flammable liquid; Solubility; Soluble in most fixed oils, propylene ; glycol, water (decomposes); slightly ; soluble in mineral oil; 1:5 in 50% ; alcohol; Assay (min); 95% C3H6O2; Specific gravity; 0.916–0.921 (25°C); Boiling point; 54°C","(FEMA, 1994)","[['Baked goods', '0.28', '0.30'], ['Hard candy', '0.12', '0.12'], ['Chewing gum', '0.09', '0.15'], ['Meat products', '0.00', '0.01'], ['Frozen dairy', '0.09', '0.10'], ['Nonalcoholic beverages', '0.05', '0.06'], ['Gelatins, puddings', '0.09', '0.15'], ['Soft candy', '0.17', '0.18']]","17 ppm","Taste characteristics at 60 ppm; sweet, chemical with clean, fresh, fruity lift ",C3H6O2/74.08,"Usually prepared by esterification of ethyl alcohol and formic acid or by distillation of ethyl acetate and formic acid in the presence of concentrated H2SO4","Reported in the oil of Boronia dentigeroides; it has been identified in Florida orange juice, several varieties of honey, apple and pear and in distilled liquors, such as rum. Also reported found in peach, raspberry, strawberry, pineapple, cabbage, vinegar, cheeses, butter, cream, milk powder, cooked beef, beer, coffee, tea, honey, corn oil, brandy and mussels ",,,,,,,,,,,
2-ETHYLFURAN,,,"2-Ethylfuran; Furan, 2-ethyl-",3208-16-0,13.092,3673,3673,11706,221-714-0,1489,,"2-Ethylfuran has a smoky burnt odor. When dilute, it has a warm, sweet odor. It has a coffee-like flavor (aroma) ","33.33 lb","0.00002824 mg/kg/day",,"21 CFR 172.515",,"The Committee concluded that the Procedure for the Safety Evaluation of Flavouring Agents could not be applied to this group (2005)","4.033 mg","Nature Identical","(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.444–1.450 (20°C); Appearance; Colorless liquid; Solubility; Insoluble in water; soluble in oils and ; ethanol; Assay (min); 95%; Specific gravity; 0.909–0.915 (25°C); Boiling point; 92–93°C","(FEMA, 1994)","[['Alcoholic beverages', '1.00', '3.00'], ['Gelatins, puddings', '10.50', '21.00'], ['Baked goods', '21.00', '42.50'], ['Nonalcoholic beverages', '5.50', '11.50'], ['Frozen dairy', '10.50', '21.50'], ['Soft candy', '11.00', '22.50']]",,,C6H8O/96.13,"By dehydration of furyl methyl carbinol followed by reduction","Reported found in tomato, coffee, peppermint and spearmint oil, Parmesan cheese, bell pepper, cooked egg, smoked fish, roasted chicken, cooked beef, cocoa, coffee, tea, pecans, filberts and soybeans ",,,,,,,,,,,
"ETHYL FURFURYL ETHER",,,"Furfuryl ethyl ether; Furan, 2-(ethoxymethyl)-; 2-(Ethoxymethyl)furan",6270-56-0,13.123,4114,,10940,228-454-7,1521,,"Colorless liquid; sweet, spicy aroma ",,,,,,,"1.471 mg",,"(The Good Scents Co , 2009); Acid value (max); 1.0; Refractive index; 1.449–1.455 (20°C); Assay (min); 95%; Solubility; Slightly soluble in water; soluble in ; ethanol; Boiling point; 150°C ; Specific gravity; 0.982–0.988 (25°C)","(The Good Scents Co , 2009)","[['Baked goods', '5.00', '25.00'], ['Meat products', '1.00', '5.00'], ['Breakfast cereals', '2.00', '10.00'], ['Milk products', '3.00', '15.00'], ['Cheese', '3.00', '15.00'], ['Other grains', '2.00', '10.00'], ['Condiments, relishes', '2.00', '10.00'], ['Poultry', '1.00', '5.00'], ['Confection, frosting', '4.00', '20.00'], ['Processed fruits', '2.00', '10.00'], ['Fats, oils', '2.00', '10.00'], ['Seasonings, flavors', '2.00', '10.00'], ['Fish products', '1.00', '5.00'], ['Snack foods', '5.00', '25.00'], ['Frozen dairy', '3.00', '15.00'], ['Soups', '2.00', '10.00'], ['Fruit ices', '3.00', '15.00']]",,,C7H10O2/126.15OOCH3,,"Not reported found in nature",,,,,,,,,,,
"ETHYL 2-FURANPROPIONATE",,,"Ethyl furfurylacetate; Ethyl furylpropionate; Ethyl 2-furanpropanoate; Ethyl 2-furanpropionate; Ethyl furan-2-pro-pionate; Ethyl beta-furylpropionate; Ethyl 3-(2-furyl)propanoate; Ethyl 3-(2-furyl)propionate; Ethyl 3-(alpha-furyl)propionate; 2-Furanpropanoic acid, ethyl ester; 2-Furanpropionic acid, ethyl ester",10031-90-0,13.022,2435,2435,2091,233-097-5,1513,,"Ethyl 2-furanpropionate has a fruity odor reminiscent of chamomile","<1.00 lb","0.00000026 mg/kg/day",,"CFR 172.515",,"The Committee concluded that the Procedure for the Safety Evaluation of Flavouring Agents could not be applied to this group (2005)","0.864 mg","Nature Identical","(JECFA, 2008); Acid value (max); 5.0; Melting point; 24–25°C; Appearance; Low-melting solid; turns yellow on ; exposure to air; Solubility; Soluble in ethanol; Assay (min); 95%","(FEMA, 1994)","[['Alcoholic beverages', '1.00', '5.00'], ['Gelatins, puddings', '1.40', '5.40'], ['Baked goods', '4.26', '9.32'], ['Nonalcoholic beverages', '0.98', '4.10'], ['Frozen dairy', '3.70', '9.00'], ['Soft candy', '3.75', '8.20']]",,"Taste characteristics at 15 ppm; pineapple, fruity, sweet, slightly spicy, tropical ripe and slightly jamy ",C9H12O3/168.19,"By direct esterification of the acid, which in turn is prepared by condensation of furfural with acetic anhydride and sodium acetate, followed by hydrogenation of the furacrylic acid ","Reported found in rum",,,,,,,,,,,
"(+/-)-ETHYL 2-HYDROXY-2-METHYLBUTYRATE",,,"Ethyl 2-methyllactate; 2-Hydroxy-2-methylbutyric acid ethyl ester; Ethyl 2-hydroxy-2-methylbutyrate; Butanoic acid, 2-hydroxy-2-methyl-, ethyl ester",77-70-3,,4268,,,201-050-8,1651,,"Clear, colorless liquid; caramelized, nutty aroma ","Odor and/or flavor used in caramel.",,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","3.777 mg",,"(JECFA, 2007); Assay (min); 98%; Solubility; Sparingly soluble in water; soluble in ; most nonpolar organic solvents; ; sparingly soluble in ethanol; Boiling point; 92°C (64–68 mmHg); 169–170°C ; Specific gravity; 0.964–0.974 (25°C); Refractive index; 1.409–1.416 (20°C)","(FEMA, 2007)","[['Alcoholic beverages', '10.00', '25.00'], ['Hard candy', '20.00', '50.00'], ['Breakfast cereal', '10.00', '30.00'], ['Instant coffee/tea', '10.00', '25.00'], ['Chewing gum', '20.00', '100.00'], ['Nonalcoholic beverages', '10.00', '25.00'], ['Frozen dairy', '5.00', '20.00'], ['Processed fruits', '5.00', '20.00'], ['Fruit ices', '5.00', '20.00'], ['Soft candy', '10.00', '25.00'], ['Gelatins, puddings', '10.00', '25.00']]","Medium strength odor, caramel nutty type; recommend smelling in a 10.00% solution or less ",,C17H14O3/146.19CH3CH3OHOCH3O,,"Reported found in nature",,,,,,,,,,,
"(+/-)-ETHYL 2-HYDROXY-3-METHYLVALERATE",,,"Ethyl 2-ethyllactate; 2-Hydroxy-3-methylpentanoic acid ethyl ester; Ethyl 2-hydroxy-3-methylpentanoate; Hydroxy-3-methyl 2-pentanoic acid ethyl ester; Ethyl 2-hydroxy-3-methyl valerate",24323-38-4,,4269,,,,1652,,"Clear, colorless liquid; fruity aroma with berry notes ","Odor and/or flavor used in blackberry, blueberry, boysenberry, currant, mulberry, raspberry, etc.  ",,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","3.777 mg",,"(JECFA, 2007); Assay (min); 96%; Solubility; Sparingly soluble in water and ; ethanol; soluble in most nonpolar ; organic solvents; Boiling point; 204–206°C ; Specific gravity; 0.922–0.930 (25°C); Refractive index; 1.422–1.429 (20°C)","(FEMA, 2007)","[['Alcoholic beverages', '10.00', '25.00'], ['Hard candy', '20.00', '50.00'], ['Breakfast cereal', '10.00', '30.00'], ['Instant coffee/tea', '10.00', '25.00'], ['Chewing gum', '20.00', '100.00'], ['Nonalcoholic beverages', '10.00', '25.00'], ['Frozen dairy', '5.00', '20.00'], ['Processed fruits', '5.00', '20.00'], ['Fruit ices', '5.00', '20.00'], ['Soft candy', '10.00', '25.00'], ['Gelatins, puddings', '10.00', '25.00']]","Medium strength odor; fruity berry type; recommend smelling in a 10.00% solution or less",,C8H16O3/160.21OCH3OOHCH3CH3,,"Reported found in champaca concrete at 0.01%",,,,,,,,,,,
"ETHYL-2-ISOPROPYL-5-METHYLCYCLOHEXANE CARBOXAMIDE",,,"n-Ethyl-p-menthane-3-carboxamide;  Cyclohexanecarboxamide, n-ethyl-5-methyl-2-(1-methylethyl)-;  n-Ethyl-2-isopropyl-5-methylcyclohexane carboxamide; n-Ethyl-2-(isopropyl)-5-methylcyclohexanecarboxamide; n-Ethyl-5-methyl-2-(1-methylethyl) cyclo-hexanecarboxamide",39711-79-0,16.013,3455,3455,2298,254-599-0,1601,,"Slight menthol-like cooling effect aroma","1.00 lb","0.00000084 mg/kg/day","10 ppm",,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2005)","2.135 mg",Artificial,"(JECFA, 2008); Appearance; White solid; Melting point; 91–93°C; Assay (min); 98%; Solubility; Insoluble in water; soluble in ethanol","(FEMA, 1994)","[['Alcoholic beverages', '10.00', '10.00'], ['Fruit ices', '10.00', '10.00'], ['Chewing gum', '1200.00', '1200.00'], ['Gelatins, puddings', '10.00', '10.00'], ['Confection, frosting', '10.00', '10.00'], ['Hard candy', '100.00', '100.00'], ['Frozen dairy', '10.00', '10.00'], [' Nonalcoholic beverages', '10.00', '10.00']]","Aroma characteristics at 1.0%. Virtually odorless","Taste characteristics at 10 to 100 ppm. Intense lingering cooling. The cooling sensation builds slow but steadily and grows to a lingering cooling mouthfeel with a slightly camphoraceous and minty character",C13H25NO/211.35,,"Not reported found in nature",,,,,,,,,,,
"ETHYL 3-(FURFURYLTHIO)-PROPIONATE",,,"Ethyl β-furfuryl-α-thiopropionate; Propanoic acid, 3-[(2-furanylmethyl)thio]-, ethyl ester",94278-27-0,13.093,3674,3674,,304-716-7,1088,,"Ethyl 3-(furfurylthio)-propionate has a pungent roasted-sulfur aroma","1.67 lb","0.00000141 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2002)","0.252 mg",Artificial,"(JECFA, 2008); Appearance; Straw-colored liquid; Refractive index; 1.500–1.509 (20°C); Assay (min); 97%; Solubility; Insoluble in water; soluble in fat; ; miscible in alcohol at room ; temperature; Boiling point; 244°C (750 mmHg); Specific gravity; 1.121–1.138 (25°C)","(FEMA, 1994)","[['Baked goods', '1.00', '2.00'], ['Hard candy', '0.10', '0.20'], ['Breakfast cereals', '0.05', '0.20'], ['Imitation dairy', '0.05', '0.10'], ['Chewing gum', '0.50', '1.00'], ['Nonalcoholic beverages', '0.05', '0.10'], ['Confection, frosting', '0.10', '0.20'], ['Nut products', '2.00', '5.00'], ['Fats, oils', '5.00', '20.00'], ['Snack foods', '1.00', '2.00'], ['Gelatins, puddings', '0.10', '0.20'], ['Soups', '0.20', '0.50'], ['Gravies', '0.10', '0.20'], ['Sweet sauce', '0.05', '0.10']]",,"Taste characteristics at 10 ppm; roasted, nutty and coffee ",C10H14O3S/214.28,,"Not reported found in nature",,,,,,,,,,,
4-ETHYLGUAIACOL,,,"4-Ethyl-2-methoxyphenol;  p-Ethylguaiacol;  4-Ethylguaiacol;  4-Hydroxy-3-methoxy. ethylbenzene;  2-Methoxy-4-ethylphenol; Phenol, 4-ethyl-2-methoxy-",2785-89-9,4.008,2436,2436,176,220-500-4,716,,"4-Ethylguaiacol has a warm, sweet, spicy, medicinal odor ","33.33 lb","0.00002824 mg/kg/day","1 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2000)","2.523 mg",Natural,"(JECFA, 2008); Appearance; Colorless, oily liquid; Refractive index; 1.524–1.534 (20°C); Assay (min); 98% C9H12O2; Solubility; Slightly soluble in water; miscible in ; oils and ethanol; Boiling point; 229–235°C; Specific gravity; 1.056–1.066 (25°C)","(FEMA, 1994)","[['Alcoholic beverages', '0.05', '0.10'], ['Gelatins, puddings', '2.31', '3.08'], ['Baked goods', '13.83', '17.68'], ['Gravies', '2.00', '6.00'], ['Condiments, relishes', '10.00', '12.00'], ['Meat products', '2.00', '4.45'], ['Confection, frosting', '0.05', '0.10'], ['Nonalcoholic beverages', '1.54', '2.31'], ['Frozen dairy', '2.31', '3.08'], ['Soft candy', '16.50', '21.72']]","25 ppb. Aroma characteristics at 1.0%; slightly sweet, spicy, clove, smoky and phenolic with charred whiskey barrel notes and a slight vanilla-like creaminess ","Taste characteristics at 5 to 10 ppm; dry, smoky, clove, phenolic and vanilla-like with tobacco and woody notes, and a burnt bacon oily aftertaste. Taste characteristics at 30 ppm:woody, smoky and spicy with sweet vanilla background ",C9H12O2/152.19,,"Reported found in several distillates of plant origin; it was identified in camphor oil, and it had been reported previously in Tolu and Peru balsam as well as in various wood distillates. Also reported found in cinnamon, coffee, grape, brandy, malt, rum, soy sauce, whiskey, grapefruit juice, smoked fish, lean fish, beer, cognac, cider, grape wines and apple brandy ",,,,,,,,,,,
2-ETHYL-2-HEPTENAL,,,2-Ethyl-3-butylacrolein,10031-88-6,5.033,2438,2438,120,,,,,"<1.00 lb","0.00000621 mg/kg/day","0.4 ppm","21 CFR 172.515",,,"3.838 mg",Artificial,,"(FEMA, 1994)","[['Baked goods', '21.00', '29.00'], ['Nonalcoholic beverages', '5.00', '6.00'], ['Frozen dairy', '4.00', '8.00'], ['Soft candy', '33.00', '37.00'], ['Gelatins, puddings', '7.00', '8.00']]",,,C9H16O/140.22,,"Not reported found in nature",,,,,,,,,,,
"ETHYL HEPTANOATE",,,"Ethyl heptoate; Ethyl heptylate; Aether oenanthicus; Butter esters; Cognac oil; Enanthylic ether; Ethyl enantate; Ethyl enanthate; Ethyl heptanoate; Ethyl n-heptanoate; Ethyl oenanthate; Ethyl oenanthylate; Grape oil; Heptanoic acid, ethyl ester; Oenanthic ether; Oleum vitis viniferae; Wine oil",106-30-9,9.093,2437,2437,365,203-382-9,32,,"Ethyl heptanoate has a fruity odor reminiscent of cognac with a corresponding taste. It has been also reported to have a winy-brandy odor","3716.67 lb","0.003149 mg/kg/day",Approved,"21 CFR 172.515",,"0–2.5 mg/kg bw (1972). No safety concern when used at current levels as a flavoring agent (1996)","6.734 mg","Nature Identical","(FCC, 1996); Acid value (max); 1.0; Refractive index; 1.411–1.415 (20°); Appearance; Colorless liquid; Solubility; Slightly soluble in propylene glycol; ; miscible with alcohol, chloroform, ; most fixed oils; insoluble in glycerin; ; 1:3 in 70% alcohol; Assay (min); 98% C9H18O2; Specific gravity; 0.867–0.872 (25°C); Boiling point; 189°C (72% water azeotrope, 98.5°)","(FEMA, 1994)","[['Alcoholic beverages', '4.35', '13.96'], ['Gelatins, puddings', '36.85', '52.41'], ['Baked goods', '29.66', '41.74'], ['Hard candy', '8.38', '14.62'], ['Cheese', '5.70', '13.07'], ['Nonalcoholic beverages', '10.29', '13.81'], ['Chewing gum', '150.80', '248.40'], ['Soft candy', '26.17', '37.60'], ['Frozen dairy', '17.99', '29.84']]","2 ppb","Taste characteristics at 10 ppm; fruity and waxy with a green winey nuance",C9H18O2/158.24,"By esterification of heptoic acid; by reacting the silver salt of the acid with ethyl-iodide or with ethyl alcohol in the pres-ence of mineral acids","Reported found in apple, tangerine peel, grape, pineapple, strawberry, peas, hops beer, apricot, Vitis labrusca, cheeses, butter, milk, beer, cognac, brandy, whiskey, rum, grape wines, cocoa, filberts, olive, passion fruit, plums, corn oil and nectarines ",,,,,,,,,,,
"ETHYL cis-4-HEPTENOATE",,,"4-Heptenoic acid, ethyl ester; (Z)-Ethyl cis-hept-4-enoate; cis-4-Heptenoic acid ethyl ester; Ethyl (Z)-4-heptenoate; Ethyl (Z)-hept-4-enoate",39924-27-1,,3975,,,254-702-9,1281,,"Ethyl cis-4-heptenoate has a fruity aroma",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2003)","3.485 mg (FEMA)",,"(JECFA, 2003); Acid value (max); 1.0; Identification test; NMR, MS, IR spectra; Appearance; Colorless liquid; fruity aroma; Refractive index; 1.428–1.431 (20°C); Assay (min); 98% (total isomers); Solubility; Insoluble in water; soluble in most ; nonpolar solvents; Boiling point; 52°C (3 mmHg); Specific gravity; 0.887–0.897 (25°C)","(FEMA, 2001)","[['Alcoholic beverages', '8.00', '12.00'], ['Fruit ices', '8.00', '12.00'], ['Baked goods', '15.00', '30.00'], ['Hard candy', '12.00', '20.00'], ['Chewing gum', '40.00', '80.00'], ['Nonalcoholic beverages', '8.00', '12.00'], ['Frozen dairy', '10.00', '15.00'], ['Soft candy', '10.00', '15.00']]","fresh waxy green melon, estery with soapy, impacting, vegetative and fruity nuances ","Taste at 1 to 5 ppm is green, slightly floral, fatty waxy, green banana, green vegetative with berry and fruity nuances ",C9H16O2/156.23H3CCH3OO,,"Reportedly present in yellow passion fruit juice (Passiflora edulis f. flavicarpa)",,,,,,,,,,,
2-ETHYLHEXANETHIOL,,,"1-Hexanethiol, 2-ethyl-; 2-Ethylhexylmercaptan; 2-Ethylhexane-1-thiol",7341-17-5,12.128,3833,,,230-854-1,519,,,,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","0.046730 mg",,"(JECFA, 1999); Appearance; Colorless to pale-yellow liquid; Solubility; Soluble in oil and alcohol; Assay (min); 95%; Specific gravity; 0.817–0.827 (25°C)","(FEMA, 1998)","[['Baked goods', '0.10', '5.00'], ['Nonalcoholic beverages', '0.10', '5.00'], ['Breakfast cereals', '0.10', '5.00'], ['Seasonings, flavors', '100.00', '1,000.00'], ['Frozen dairy', '0.10', '5.00'], ['Soft candy', '0.10', '5.00'], ['Gravies', '0.10', '5.00'], ['Soups', '0.10', '5.00'], ['Meat products', '0.10', '5.00'], ['Sweet sauce', '0.10', '5.00'], ['Milk products', '0.10', '5.00']]",,,C8H18S/146.30SHCH3CH3,,"Reported found in potato",,,,,,,,,,,
"ETHYL HEXANOATE",,,"Ethyl hexylate; Cetic acid, butyl-, ethyl ester; Butter esters; Ethyl butylacetate; Ethyl caproate; Ethyl hexanoate; Ethyl hexoate; Hexanoic acid, ethyl ester; Hexanoic acid, ethyl ester, mixture with soybean oil epoxide",123-66-0,9.06,2439,2439,310,204-640-3,31,,"Ethyl hexanoate has a powerful, fruity odor with a pineapple–banana note. It has been also reported to have a winy odor ","11733.33 lb","0.009943 mg/kg/day","40 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1996)","2.560 mg","Nature Identical","(FCC, 1996); Acid value (max); 1.0 ; Refractive index; 1.406–1.409 (20°C); Appearance; Colorless liquid; Solubility; Soluble in most fixed oils; slightly ; soluble in propylene glycol; insoluble ; in glycerin; 1:2 in 70% alcohol; Assay (min); 98% C8H16O2; Specific gravity; 0.867–0.871 (25°C); Boiling point; 166°C","(FEMA, 1994)","[['Alcoholic beverages', '2.37', '3.00'], ['Hard candy', '35.91', '170.10'], ['Baked goods', '9.75', '27.18'], ['Meat products', '0.10', '0.20'], ['Cheese', '0.50', '1.70'], ['Milk products', '10.00', '20.00'], ['Chewing gum', '106.40', '128.80'], ['Nonalcoholic beverages', '2.63', '5.99'], ['Frozen dairy', '9.64', '21.68'], ['Soft candy', '8.36', '17.55'], ['Gelatins, puddings', '6.20', '17.71']]","0.3 to 5 ppb","Taste characteristics at 10 ppm; fruity and waxy with a tropical nuance",C8H16O2/144.21,"By esterification of caproic acid with ethyl alcohol in the presence of concentrated H2SO4 or HCl","Reported found in strawberry, rum, bourbon, cocoa, kiwi fruit, black currant, apple, orange and grapefruit juice, guava, Vitis vinifera, pineapple, strawberry jam, clove bud, cheeses, cognac, whiskies, grape wines, passion fruit juice, mango, fruit brandies, figs, corn oil, mountain papaya, pawpaw and mastic gum leaf oil ",,,,,,,,,,,
2-ETHYL-1-HEXANOL,,,"Ethylhexanol; 2-Ethylhexanol; 2-Ethyl-1-hexanol; 2-Ethylhexan-1-ol; 1-Hexanol, 2-ethyl-; 2-Ethylhexyl alcohol; Octyl alcohol",104-76-7,2.082,3151,3151,11763,203-234-3,267,,"2-Ethyl-1-hexanol has a mild, oily, sweet, slightly floral odor reminiscent of rose and sweet, fatty-floral taste with a fruity note ","766.67 lb","0.0006497 mg/kg/day",,,,"0 to 0.5 mg/kg bw (1993). No safety concern when used at current levels as a flavoring agent (1997)","5.530 mg","Nature Identical","(FCC, 1996); Appearance; Colorless liquid; Refractive index; 1.429–1.434 (20°C); Assay (min); 98% C8H18O; Specific gravity; 0.830–0.834 (25°C); Boiling point; 183°C","(FEMA, 1994)","[['Baked goods', '34.00', '45.00'], ['Nonalcoholic beverages', '2.80', '4.25'], ['Frozen dairy', '10.25', '17.50'], ['Soft candy', '17.75', '24.25'], ['Gelatins, puddings', '10.25', '17.50']]",,,C8H18O/130.23,"By hydrogenation of aldehydes obtained by the oxo process; also synthesized from propylene; by catalytic reduction of 2-ethyl-2-hexenal and other similar patented processes","Reported found in papaya, peach, pear, blackberry, strawberry, cabbage, Parmesan and mozzarella cheese, butter, roasted chicken, cognac, sherry, grape wines, tea, avocado, kiwifruit, crab and clam ",,,,,,,,,,,
